iter	Passed	Remaining
0	1	126
1	2	114
2	3	107
3	4	99
4	5	96
5	6	94
6	7	93
7	7	91
8	8	90
9	9	88
10	10	87
11	11	86
12	12	84
13	13	83
14	14	82
15	15	81
16	16	80
17	17	79
18	18	77
19	19	76
20	20	76
21	21	75
22	21	73
23	22	72
24	23	71
25	24	70
26	25	69
27	26	69
28	27	68
29	28	66
30	29	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	39	54
42	40	53
43	41	53
44	42	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	51	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	77	15
83	78	15
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	90	2
97	91	1
98	92	0
99	93	0
